# Language: German

# This file contains the strings displayed during the game in the current language.
# Each line represents a string, representing by its key and then its value.
# The key and the value are separated by one or several tabulation characters.
# The key cannot contain whitespaces and cannot be changed. Only the value has to be translated.
# This file must be encoded in UTF-8.

# The strings having a key with "caption" are displayed
# in the caption text area of the pause menu. They can have one or two lines
# (separated by the '$' character) and a line should never exceed 20 characters.
# For all other strings, the maximum length is indicated in the comments below.

# Map submenu
map.caption.world_map			Weltkarte
map.caption.dungeon_name_1		Waldgrotte
map.caption.dungeon_name_2		Felshöhle
map.caption.dungeon_name_3		Höhle von$Meister Arbror
map.caption.dungeon_name_4		Schloss Schönberg
map.caption.dungeon_name_5		Altes Schloss$von Hyrule
map.caption.dungeon_name_6		Höhle des Inferno
map.caption.dungeon_name_7		Eistempel
map.caption.dungeon_name_8		Dungeon der$Felsnadeln
map.caption.dungeon_name_9		Tempel der$Erinnerung

# Quest status submenu
quest_status.caption.rupee_bag_1	Geldbeutel
quest_status.caption.rupee_bag_2	Großer$Geldbeutel
quest_status.caption.rupee_bag_3	Riesiger$Geldbeutel
quest_status.caption.bomb_bag_1		Bombentasche
quest_status.caption.bomb_bag_2		Große$Bombentasche
quest_status.caption.bomb_bag_3		Riesige$Bombentasche
quest_status.caption.quiver_1		Köcher
quest_status.caption.quiver_2		Großer Köcher
quest_status.caption.quiver_3		Riesiger Köcher
quest_status.caption.world_map		Weltkarte
quest_status.caption.pieces_of_heart	Herzteile
quest_status.caption.tunic_0		Grüne Rüstung
quest_status.caption.tunic_1		Blaue Rüstung
quest_status.caption.tunic_2		Rote Rüstung
quest_status.caption.sword_1		Schwert des Mutes
quest_status.caption.sword_2		Hyrulisches Schwert
quest_status.caption.sword_3		Heroen-Säbel
quest_status.caption.sword_4		Kinge des reinen Lichts
quest_status.caption.shield_1		Schild
quest_status.caption.shield_2		Feuerschild
quest_status.caption.shield_3		Spiegelschild

# Inventory submenu
inventory.caption.item_0_1	Feder
inventory.caption.item_1_1	Bomben
inventory.caption.item_2_1	Bogen
inventory.caption.item_2_2	Bogen & Pfeile
inventory.caption.item_3_1	Bumerang
inventory.caption.item_4_1	Lampe
inventory.caption.item_5_1	Enterhaken
inventory.caption.item_6_1	Leere Flasche
inventory.caption.item_6_2	Gefüllte Flasche$(Wasser)
inventory.caption.item_6_3	Gefüllte Flasche$(roter Trank)
inventory.caption.item_6_4	Gefüllte Flasche$(grüner Trank)
inventory.caption.item_6_5	Gefüllte Flasche$(blauer Trank)
inventory.caption.item_6_6	Flasche$(enthält eine Fee)

inventory.caption.item_7_1	Pegasus-Schuhe
inventory.caption.item_8_1	Zauberspiegel
inventory.caption.item_9_1	Somaria-Stab
inventory.caption.item_10_1	Äpfel
inventory.caption.item_11_1	Schokobrötchen
inventory.caption.item_12_1	Hörnchen

inventory.caption.item_14_1	Felsschlüssel
inventory.caption.item_15_1	Roter Schlüssel
inventory.caption.item_16_1	Erdschlüssel
inventory.caption.item_17_1	Apfelkuchen
inventory.caption.item_17_2	Goldbarren
inventory.caption.item_17_3	Edelweiß
inventory.caption.item_17_4	Knochenschlüssel
inventory.caption.item_18_1	Flossen
inventory.caption.item_19_1	Magischer Umhang

inventory.caption.item_21_1	Eisenschlüssel
inventory.caption.item_22_1	Steinschlüssel
inventory.caption.item_23_1	Holzschlüssel
inventory.caption.item_24_1	Eisschlüssel
inventory.caption.item_25_1	Krafthandschuh
inventory.caption.item_25_2	Titanenhandschuh
inventory.caption.item_26_1	Feuersteine

# Options submenu
options.caption.press_action_change_mode	Auf Aktion drücken, um$den Modus zu wechseln
options.caption.press_action_customize_key	Auf Aktion drücken, um$die Taste zu ändern
options.caption.press_key			Taste der Tatstatur$oder des joypads drücken
# name of the video modes (maximum 26 characters)
options.video_mode_0				640x480 Fenster
options.video_mode_1				640x480 Fenster, geglättet
options.video_mode_2				320x240 Fenster
options.video_mode_3				Vollbild gestreckt
options.video_mode_4				Vollbild gestreckt (breit)
options.video_mode_5				Vollbild geglättet
options.video_mode_6				Vollbild geglättet (breit)
options.video_mode_7				Vollbild zentriert
options.video_mode_8				Vollbild zentriert (breit)
# column headers of the keyboard/joypad customization table (maximum 10 characters)
options.commands_column				Steuerung
options.keyboard_column				Tastatur
options.joypad_column				Joypad

# Game controls customization (maximum 10 characters)
controls.game_key_1		Aktion
controls.game_key_2		Schwert
controls.game_key_3		Ggstd l.
controls.game_key_4		Ggstd r.
controls.game_key_5		Pause
controls.game_key_6		Rechts
controls.game_key_7		Oben
controls.game_key_8		Links
controls.game_key_9		Unten

# Dialog to save the game
save_dialog.yes			Ja
save_dialog.no			Nein
save_dialog.save_question_0	Fortschritt
save_dialog.save_question_1	speichern ?
save_dialog.continue_question_0	Spiel
save_dialog.continue_question_1	fortsetzen ?

# Savegame selection menu (maximum 45 characters)
selection_menu.select_file	Wahl des Spielstands
selection_menu.choose_mode	Wahl des Spielemodus
selection_menu.choose_name	Wie lautet Ihr Name ?
selection_menu.confirm_erase	Ganz sicher ?
selection_menu.erase_file	Welcher Spielstand soll gelöscht werden?
selection_menu.erase		Löschen
selection_menu.cancel		Abbruch
selection_menu.exit		Beenden
selection_menu.big_yes		JA
selection_menu.big_no		NEIN
selection_menu.empty		Leer

# Title screen
title_screen.website		www.zelda-solarus.com
title_screen.press_space	Bitte Leertaste drücken

# Title bar of the program window
video_manager.title_bar		Zelda Mystery of Solarus DX - Spieledemo

