walking enemies/simple_green_soldier.png 4 200 0
64	0	32	32	16	29	2	2
64	32	32	32	16	29	2	2
64	64	32	32	16	29	2	2
64	96	32	32	16	29	2	2

immobilized enemies/simple_green_soldier.png 4 0 -1
96	0	32	32	16	29	1	1
96	32	32	32	16	29	1	1
96	64	32	32	16	29	1	1
96	96	32	32	16	29	1	1

shaking enemies/simple_green_soldier.png 4 50 0
96	0	32	32	16	29	2	2
96	32	32	32	16	29	2	2
96	64	32	32	16	29	2	2
96	96	32	32	16	29	2	2

stopped_watching_left enemies/simple_green_soldier.png 4 500 -1
0	0	32	32	16	29	1	1
0	32	32	32	16	29	1	1
0	64	32	32	16	29	1	1
0	96	32	32	16	29	1	1

stopped_watching_right enemies/simple_green_soldier.png 4 500 -1
32	0	32	32	16	29	1	1
32	32	32	32	16	29	1	1
32	64	32	32	16	29	1	1
32	96	32	32	16	29	1	1

hurt enemies/simple_green_soldier.png 4 50 0
160	0	32	32	16	29	3	3
160	32	32	32	16	29	3	3
160	64	32	32	16	29	3	3
160	96	32	32	16	29	3	3
