stopped hero/stopped.tunic.png 4 0 -1
0	24	24	24	12	21	1	1
24	24	24	24	12	21	1	1
72	24	24	24	12	21	1	1
96	24	24	24	12	21	1	1

stopped_with_shield hero/stopped.tunic.png 4 0 -1
0	24	24	24	12	21	1	1
48	24	24	24	12	21	1	1
72	24	24	24	12	21	1	1
96	24	24	24	12	21	1	1

walking hero/walking.tunic.png 4 100 0
0	160	24	32	12	29	8	8
0	192	24	32	12	29	8	8
0	256	24	32	12	29	8	8
0	288	24	32	12	29	8	8

walking_with_shield hero/walking.tunic.png 4 100 0
0	160	24	32	12	29	8	8
0	224	24	32	12	29	8	8
0	256	24	32	12	29	8	8
0	288	24	32	12	29	8	8

walking_diagonal hero/walking.tunic.png 4 100 0
192	160	24	32	12	29	3	3
192	192	24	32	12	29	3	3
192	256	24	32	12	29	3	3
192	288	24	32	12	29	3	3

sword hero/sword.tunic2.png 4 30 -1
0	0	32	32	16	29	12	12
0	32	32	32	16	29	12	12
0	64	32	32	16	29	12	12
0	96	32	32	16	29	12	12

sword_loading_stopped hero/loading.tunic2.png 4 0 -1
0	0	24	24	12	21	1	1
0	24	24	24	12	21	1	1
0	48	24	24	12	21	1	1
0	72	24	24	12	21	1	1

sword_loading_walking hero/loading.tunic2.png 4 100 0
0	0	24	24	12	21	6	6
0	24	24	24	12	21	6	6
0	48	24	24	12	21	6	6
0	72	24	24	12	21	6	6

sword_tapping hero/sword_tapping.tunic.png 4 40 1
0	128	40	24	12	21	7	7
0	152	24	40	12	37	7	7
0	192	40	24	28	21	7	7
0	216	24	40	12	21	7	7	

spin_attack hero/spin_attack.tunic2.png 4 30 -1
0	0	24	24	12	21	22	22
0	24	24	24	12	21	22	22
0	48	24	24	12	21	22	22
0	72	24	24	12	21	22	22

victory hero/victory.tunic.png 4 50 17
0	24	24	24	12	21	18	18
0	24	24	24	12	21	18	18
0	24	24	24	12	21	18	18
0	24	24	24	12	21	18	18

grabbing hero/grabbing.png 4 0 -1
0	24	24	24	12	21	1	1
24	24	24	24	12	21	1	1
48	24	24	24	12	21	1	1
72	24	24	24	12	21	1	1

pulling hero/pulling.png 4 150 0
0	96	32	24	16	21	3	3
0	120	32	24	16	21	3	3
0	144	32	24	16	21	3	3
0	168	32	24	16	21	3	3

pushing hero/pushing.png 4 100 0
0	128	24	32	12	29	5	5
0	160	24	32	12	29	5	5
0	192	24	32	12	29	5	5
0	224	24	32	12	29	5	5

lifting hero/lifting.png 4 100 -1
0	96	48	24	24	21	5	5
0	120	48	24	24	21	5	5
0	144	48	24	24	21	5	5
0	168	48	24	24	21	5	5

carrying_stopped hero/carrying.png 4 0 -1
0	72	24	24	12	21	1	1
0	96	24	24	12	21	1	1
72	72	24	24	12	21	1	1
0	120	24	24	12	21	1	1

carrying_walking hero/carrying.png 4 100 0
0	72	24	24	12	21	3	3
0	96	24	24	12	21	6	6
72	72	24	24	12	21	3	3
0	120	24	24	12	21	6	6

brandish hero/miscellaneous.png 4 0 -1
16	0	16	24	8	21	1	1
16	0	16	24	8	21	1	1
16	0	16	24	8	21	1	1
16	0	16	24	8	21	1	1

jumping hero/jumping.png 4 0 -1
0	24	24	24	12	21	1	1
24	24	24	24	12	21	1	1
48	24	24	24	12	21	1	1
72	24	24	24	12	21	1	1

hurt hero/miscellaneous.png 4 0 -1
0	48	24	24	12	21	1	1
24	48	24	24	12	21	1	1
48	48	24	24	12	21	1	1
72	48	24	24	12	21	1	1

dying hero/dying.png 1 125 9
0	24	24	24	12	21	10	10

plunging hero/plunging.png 4 50 -1
0	96	56	24	28	21	6	6
0	120	56	24	28	21	6	6
0	144	56	24	28	21	6	6
0	168	56	24	28	21	6	6

swimming_stopped hero/swimming.png 4 300 0
0	160	40	40	20	29	2	2
0	200	40	40	20	29	2	2
0	240	40	40	20	29	2	2
0	280	40	40	20	29	2	2

swimming_slow hero/swimming.png 4 200 0
80	160	40	40	20	29	4	4
80	200	40	40	20	29	4	4
80	240	40	40	20	29	4	4
80	280	40	40	20	29	4	4

swimming_fast hero/swimming.png 4 200 -1
240	160	40	40	20	29	3	3
240	200	40	40	20	29	3	3
240	240	40	40	20	29	3	3
240	280	40	40	20	29	3	3

falling hero/falling.png 4 125 -1
0	24	24	24	12	12	6	6
0	24	24	24	12	12	6	6
0	24	24	24	12	12	6	6
0	24	24	24	12	12	6	6

boomerang hero/boomerang.tunic.png 4 100 -1
0	96	32	24	16	21	2	2
0	120	32	24	16	21	2	2
0	144	32	24	16	21	2	2
0	168	32	24	16	21	2	2

bow hero/bow.tunic.png 4 100 -1
0	96	32	24	16	21	3	3
0	120	32	24	16	21	3	3
0	144	32	24	16	21	3	3
0	168	32	24	16	20	3	3

hookshot hero/hookshot.tunic.png 4 0 -1
0	128	32	32	16	21	1	1
0	160	32	32	16	21	1	1
0	192	32	32	16	21	1	1
0	224	32	32	16	21	1	1

