# Language: Dutch

# This file contains the strings displayed during the game in the current language.
# Each line represents a string, representing by its key and then its value.
# The key and the value are separated by one or several tabulation characters.
# The key cannot contain whitespaces and cannot be changed. Only the value has to be translated.
# This file must be encoded in UTF-8.

# The strings having a key with "caption" are displayed
# in the caption text area of the pause menu. They can have one or two lines
# (separated by the '$' character) and a line should never exceed 20 characters.
# For all other strings, the maximum length is indicated in the comments below.

# Map submenu
map.caption.world_map			Wereld Kaart
map.caption.dungeon_name_1		Vorstkerker
map.caption.dungeon_name_2		Rotsgrot
map.caption.dungeon_name_3		Meester Arbrors$Hol
map.caption.dungeon_name_4		Beaumont Paleis
map.caption.dungeon_name_5		Oud$Kasteel van Hyrule
map.caption.dungeon_name_6		Infernos Grot
map.caption.dungeon_name_7		Ijstempel
map.caption.dungeon_name_8		Kerker van de$Rotsachtige Pieken
map.caption.dungeon_name_9		Herinneringenstempel

# Quest status submenu
quest_status.caption.rupee_bag_1	Robjinenzak
quest_status.caption.rupee_bag_2	Grote$Robjinenzak
quest_status.caption.rupee_bag_3	Reusachtige$Robjinenzak
quest_status.caption.bomb_bag_1		Bommenzak
quest_status.caption.bomb_bag_2		Grote Bommenzak
quest_status.caption.bomb_bag_3		Reusachtige$Bommenzak
quest_status.caption.quiver_1		Koker
quest_status.caption.quiver_2		Grote Koker
quest_status.caption.quiver_3		Reusachtige Koker
quest_status.caption.world_map		Wereld Kaart
quest_status.caption.pieces_of_heart	Stukjes Hart
quest_status.caption.tunic_0		Groene$Maliënkolder
quest_status.caption.tunic_1		Blauwe$Maliënkolder
quest_status.caption.tunic_2		Rode$Maliënkolder
quest_status.caption.sword_1		Zwaard van de Moed
quest_status.caption.sword_2		Hyliaan Gladius
quest_status.caption.sword_3		Helds Sabel
quest_status.caption.sword_4		Zuiverend Blad
quest_status.caption.shield_1		Schild
quest_status.caption.shield_2		Vuurschild
quest_status.caption.shield_3		Spiegelschild

# Inventory submenu
inventory.caption.item_0_1	Veer
inventory.caption.item_1_1	Bommen
inventory.caption.item_2_1	Boog
inventory.caption.item_2_2	Boog & Pijlen
inventory.caption.item_3_1	Boemerang
inventory.caption.item_4_1	Lantaarn
inventory.caption.item_5_1	Enterhaak
inventory.caption.item_6_1	Magische Flacon$(Leeg)
inventory.caption.item_6_2	Magische Flacon$(Water)
inventory.caption.item_6_3	Magische Flacon$(Rood Drankje)
inventory.caption.item_6_4	Magische Flacon$(Groen Drankje)
inventory.caption.item_6_5	Magische Flacon$(Blauw Drankje)
inventory.caption.item_6_6	Magische Flacon$(Elf)

inventory.caption.item_7_1	Pegasus Laarzen
inventory.caption.item_8_1	Mystiek Spiegel
inventory.caption.item_9_1	Somarias Cane
inventory.caption.item_10_1	Appels
inventory.caption.item_11_1	Chocolade Broodjes
inventory.caption.item_12_1	Croissants

inventory.caption.item_14_1	Rotssleutel
inventory.caption.item_15_1	Rode Sleutel
inventory.caption.item_16_1	Aardesleutel
inventory.caption.item_17_1	Appeltaart
inventory.caption.item_17_2	Goud Lingots
inventory.caption.item_17_3	Edelweiss
inventory.caption.item_17_4	Beensleutel
inventory.caption.item_18_1	Zwemvinnen
inventory.caption.item_19_1	Magische Cape

inventory.caption.item_21_1	Ijzersleutel
inventory.caption.item_22_1	Steensleutel
inventory.caption.item_23_1	Houtsleutel
inventory.caption.item_24_1	Ijssleutel
inventory.caption.item_25_1	Ijzere Handschoen
inventory.caption.item_25_2	Goude Handschoen
inventory.caption.item_26_1	Vuurstenen

# Options submenu
options.caption.press_action_change_mode	Druk op Actie om de$mode te veranderen
options.caption.press_action_customize_key	Druk op Actie om$de toets te config.
options.caption.press_key			Druk op een toets v.$de klavier of de joypad
# name of the video modes (maximum 26 characters)
options.video_mode_0				Venster 640x480
options.video_mode_1				Venster 640x480 glad
options.video_mode_2				Venster 320x240
options.video_mode_3				Vol scherm uitgetrokken
options.video_mode_4				Vol scherm uitget. (breed)
options.video_mode_5				Vol scherm glad
options.video_mode_6				Vol scherm glad (breed)
options.video_mode_7				Vol scherm gecentreerd
options.video_mode_8				Vol scherm gecent. (breed)
# column headers of the keyboard/joypad customization table (maximum 10 characters)
options.commands_column				Instructies
options.keyboard_column				Klavier
options.joypad_column				Joypad

# Game controls customization (maximum 10 characters)
controls.game_key_1		Actie
controls.game_key_2		Zwaard
controls.game_key_3		L. voorw.
controls.game_key_4		R. voorw.
controls.game_key_5		Pauze
controls.game_key_6		Rechts
controls.game_key_7		Boven
controls.game_key_8		Links
controls.game_key_9		Beneden

# Dialog to save the game
save_dialog.yes			Ja
save_dialog.no			Nee
save_dialog.save_question_0	Wilt u uw 
save_dialog.save_question_1	voorderingen opslaan ?
save_dialog.continue_question_0	Wilt u met de spel
save_dialog.continue_question_1	doorgaan ?

# Savegame selection menu (maximum 45 characters)
selection_menu.select_file	Gelieve u een bestand te kiezen.
selection_menu.choose_mode	Gelieve u een speelmode te kiezen.
selection_menu.choose_name	Wat is uw naam ?
selection_menu.confirm_erase	Bent u zeker ?
selection_menu.erase_file	Welke bestand wilt u wissen ?
selection_menu.erase		Wissen
selection_menu.cancel		Annuleren
selection_menu.exit		Verlaten
selection_menu.big_yes		JA
selection_menu.big_no		NEE
selection_menu.empty		Leeg

# Title screen
title_screen.website		www.zelda-solarus.com
title_screen.press_space	Druk op de spatiebalk

# Title bar of the program window
video_manager.title_bar		Zelda Mystery of Solarus DX - demo

