0	8	Outside world A1
0	10	Outside world B1
0	9	Outside world A2
0	7	Outside world B2
0	3	Outside world A3
0	4	Outside world B3
0	6	Outside world A4
0	5	Outside world B4
0	0	Intro
0	28	Link's House
0	1	Link's House - Secret room
0	11	Grandma house
0	2	Rupee House
0	12	Sahasrahla house
0	13	Sahasrahla house B1
0	14	Sahasrahla house B2
0	15	Sahasrahla house icy room
0	16	Smith cave
0	17	Binbin dungeon 1F
0	18	Shop
0	19	Cake shop
0	20	Lyriann Cave 1F
0	21	Lyriann Cave B1
0	22	Mymette grotte
0	26	Fairy Cave
0	29	Twin caves
0	47	Dungeon 8 1F
0	48	Dungeon 8 B1
0	49	Dungeon 8 B2
0	50	Dungeon 8 B3
0	51	Dungeon 8 B4
0	52	Dungeon 8 Boss
0	53	Dungeon 8 Hidden room
0	58	Dungeon 6 1F
0	55	Dungeon 6 2F
0	56	Dungeon 6 3F
0	57	Dungeon 6 4F
0	59	Dungeon 4 B1
0	60	Dungeon 4 1F
0	62	Dungeon 4 icy room
0	54	Dungeon 3 5F
0	43	Dungeon 3 4F
0	42	Dungeon 3 3F
0	41	Dungeon 3 2F
0	40	Dungeon 3 1F
0	30	Dungeon 2 1F
0	31	Dungeon 2 B1
0	25	Dungeon 1 2F
0	23	Dungeon 1 1F
0	24	Dungeon 1 B1
0	27	Dungeon 1 final room
0	32	Telepathic booth
0	33	Hole and Flower Cave
0	34	Bomb cave 1F
0	35	Bomb cave 2F
0	36	Bomb cave 3F
0	37	Billy's cave
0	39	True hero cave 2F
0	38	True hero cave 1F
0	44	Enemies testing area
0	45	Surprise wall
0	46	Test map
1	1	Light World
1	3	Cave
1	0	House
1	4	Blue dungeon (LW)
1	5	Green dungeon (LW)
1	7	Brown dungeon (LW)
1	8	Blue dungeon (DW)
1	9	Green dungeon (DW)
1	10	Orange dungeon (DW)
1	11	Pink dungeon (LW)
1	2	Ice dungeon
1	12	Castle
1	6	Intro
2	agahnim.spc	Agahnim theme
2	beginning.spc	Beginning
2	boss.spc	Boss
2	castle.spc	Castle
2	cave.spc	Cave
2	credits.spc	Credits
2	dark_mountain.spc	Dark Mountain
2	dark_world.spc	Dark World
2	light_world_dungeon.spc	Dungeon (light world)
2	dark_world_dungeon.spc	Dungeon (dark world)
2	dungeon_finished.spc	Dungeon finished
2	eagle_tower.it	Eagle's Tower
2	excalibur.spc	Excalibur
2	fanfare.spc	Fanfare
2	fortune_teller.spc	Fortune Teller
2	ganon_appears.spc	Ganon appears
2	ganon_battle.spc	Ganon battle
2	ganon_theme.spc	Ganon theme
2	great_fairy.spc	Great Fairy
2	village.spc	Kakariko Village
2	legend.spc	Legend
2	lost_woords.spc	Lost Woods
2	mini_game.spc	Mini game
2	la_mountains.ogg	Mountains (LA)
2	overworld.spc	Overworld
2	sanctuary.spc	Sanctuary
2	game_over.spc	Selection menu & Game Over
2	soldiers.spc	Soldiers
