walking enemies/mowatulla.png 4 200 0
0	0	96	112	48	64	4	4
0	0	96	112	48	64	4	4
0	0	96	112	48	64	4	4
0	0	96	112	48	64	4	4

hurt enemies/mowatulla.png 4 50 0
0	224	96	112	48	64	2	2
0	224	96	112	48	64	2	2
0	224	96	112	48	64	2	2
0	224	96	112	48	64	2	2

preparing_son enemies/mowatulla.png 4 400 3
0	112	96	112	48	64	4	4
0	112	96	112	48	64	4	4
0	112	96	112	48	64	4	4
0	112	96	112	48	64	4	4

jumping enemies/mowatulla.png 4 0 -1
192	224	96	112	48	64	1	1
192	224	96	112	48	64	1	1
192	224	96	112	48	64	1	1
192	224	96	112	48	64	1	1

