320	752	-1	-100	1968	2696	-1	3	cave.spc
0	0	40	688	24	24	59
0	0	256	688	24	24	60
0	0	40	448	24	240	227
0	0	64	688	192	24	226
0	0	256	448	24	240	225
0	0	256	424	24	24	58
0	0	64	424	192	24	224
0	0	40	424	24	24	57
0	0	64	448	192	8	216
0	0	64	680	192	8	217
0	0	248	448	8	240	219
0	0	64	448	8	240	218
0	0	64	448	8	8	212
0	0	248	680	8	8	215
0	0	64	680	8	8	214
0	0	248	448	8	8	213
0	0	72	456	176	224	3
0	0	112	528	96	72	452
0	0	120	536	80	56	385
0	0	88	688	16	16	294
0	0	80	688	8	16	288
0	0	104	688	8	16	287
0	0	256	624	16	16	296
0	0	256	640	16	8	291
0	0	256	616	16	8	290
0	0	168	432	8	16	286
0	0	144	432	8	16	285
0	0	272	624	48	16	3
0	0	88	704	16	48	3
0	0	224	448	16	48	364
0	0	240	448	16	112	364
0	0	96	448	48	24	374
0	0	64	448	32	56	380
0	0	280	640	40	8	70
0	0	104	712	8	40	71
0	0	280	616	40	8	70
0	0	80	712	8	40	71
0	0	224	600	16	16	369
0	0	224	648	16	16	369
0	0	152	432	16	16	350
0	0	144	552	32	24	375
4	0	232	461	0	_random	1	-1
4	0	232	477	0	_random	1	-1
4	0	232	493	0	_random	1	-1
4	0	248	493	0	_random	1	-1
4	0	248	477	0	_random	1	-1
4	0	248	461	0	_random	1	-1
4	0	248	541	0	_random	1	-1
4	0	248	525	0	_random	1	-1
4	0	248	509	0	_random	1	-1
4	0	248	557	0	_random	1	-1
1	0	160	445	from_dungeon_8	3	0
2	0	88	752	16	16	teletransporter	0	2	37	_side
2	0	320	624	16	16	teletransporter_2	0	2	122	_side
2	0	152	432	16	16	teletransporter_3	0	1	53	from_billy_cave
19	0	152	432	stairs	1	2
0	1	48	424	96	8	413
0	1	272	576	8	96	418
0	1	48	704	96	8	414
0	1	16	400	24	24	45
0	1	280	400	24	24	46
0	1	40	400	240	24	49
0	1	16	424	24	288	51
0	1	16	712	24	24	47
0	1	40	712	240	24	52
0	1	280	712	24	24	48
0	1	280	424	24	288	50
0	1	80	704	32	8	312
0	1	272	616	8	32	308
0	1	144	424	32	8	311
0	1	152	424	16	8	346
0	2	0	0	320	400	170
0	2	0	400	16	336	170
0	2	304	400	16	336	170
0	2	0	736	320	16	170
