320	240	-1	-100	224	2504	-1	0	fortune_teller.spc
0	0	80	72	24	24	45
0	0	80	144	24	24	47
0	0	216	72	24	24	46
0	0	216	144	24	24	48
0	0	104	144	112	24	52
0	0	104	72	112	24	49
0	0	216	96	24	48	50
0	0	80	96	24	48	51
0	0	104	96	8	8	14
0	0	208	96	8	8	15
0	0	208	136	8	8	17
0	0	104	136	8	8	16
0	0	112	96	96	8	18
0	0	112	136	96	8	21
0	0	208	104	8	32	19
0	0	104	104	8	32	20
0	0	152	144	16	16	77
0	0	144	144	8	16	74
0	0	168	144	8	16	75
0	0	152	160	16	32	3
0	0	144	168	8	16	71
0	0	168	168	8	16	71
0	0	152	184	16	8	70
0	0	112	104	96	32	2
0	0	112	104	16	32	1
0	0	192	104	16	32	1
1	0	160	157	from_outside	1	0
8	0	160	93	hint_stone	3	0	entities/hint_stone	map
2	0	152	168	16	16	to_outside	0	1	3	out_telepathic_house
4	0	120	117	0	_random	1	-1
4	0	120	133	0	_random	1	-1
4	0	200	133	0	_random	1	-1
4	0	200	117	0	_random	1	-1
0	2	0	0	320	72	170
0	2	0	168	320	72	170
0	2	0	72	80	96	170
0	2	240	72	80	96	170
0	2	112	160	96	8	148
0	2	144	160	32	8	153
