1032	1032	10	4	0	0	295	4	eagle_tower.it
0	0	16	1016	1016	16	170
0	0	16	0	1016	16	170
0	1	128	656	24	336	51
0	1	152	640	32	352	383
0	1	152	640	8	352	237
0	1	176	640	8	352	238
0	1	184	656	24	336	50
0	1	40	464	256	128	426
0	1	56	464	224	16	259
0	1	40	592	256	48	383
0	1	184	632	112	8	236
0	1	184	992	16	24	52
0	1	144	992	16	24	52
0	1	16	440	24	24	45
0	1	40	440	256	24	49
0	1	296	440	24	24	46
0	1	296	464	24	176	50
0	1	16	464	24	176	51
0	1	296	640	24	24	48
0	1	40	640	96	24	52
0	1	16	640	24	24	47
0	1	120	464	96	64	383
0	1	216	528	8	8	253
0	1	112	528	8	8	254
0	1	120	528	96	8	247
0	1	120	464	96	8	179
0	1	48	632	112	8	236
0	1	176	448	8	16	73
0	1	152	448	8	16	72
0	1	160	448	16	16	76
0	1	160	448	16	16	189
0	1	288	592	8	48	238
0	1	288	632	8	8	17
0	1	40	592	8	48	237
0	1	40	632	8	8	16
0	1	200	640	96	24	52
0	1	128	640	24	24	54
0	1	160	992	16	16	77
0	1	128	992	24	24	47
0	1	152	632	8	8	242
0	1	176	632	8	8	241
0	1	152	984	8	8	16
0	1	152	472	32	32	474
0	1	136	472	16	16	473
0	1	184	472	16	16	473
0	1	160	992	16	16	194
0	1	176	984	8	8	17
0	1	176	992	16	24	52
0	1	184	992	24	24	48
0	1	160	984	16	8	236
0	1	176	992	8	16	75
0	1	152	992	8	16	74
0	1	120	496	16	16	101
0	1	200	496	16	16	101
0	1	184	640	24	24	53
0	1	40	480	16	112	260
0	1	40	464	16	16	255
0	1	280	480	16	112	261
0	1	280	464	16	16	256
0	1	40	584	256	8	249
0	1	216	464	8	64	248
0	1	112	464	8	64	250
1	1	168	1005	Entrance_G_2	1	0
9	1	192	509	block	-1	entities/block	1	0	0
9	1	144	509	block_2	-1	entities/block	1	0	0
7	1	48	605	enemy_2	0	pike_detect	0	-1	_random	1	-1
1	1	168	461	Entrance_H_1	3	0
2	1	160	448	16	16	teletransporter_2	0	1	119	from_dungeon_10_5f
7	1	288	605	enemy_3	0	pike_detect	0	-1	_random	1	-1
9	1	160	605	block_3	-1	entities/block	1	1	2
9	1	176	605	block_4	-1	entities/block	1	1	2
7	1	72	629	pike_1	0	pike_detect	0	-1	_random	1	-1
7	1	264	629	pike_2	2	pike_detect	0	-1	_random	1	-1
4	1	128	509	0	fairy	1	-1
4	1	208	509	0	arrow	3	-1
2	1	160	992	16	16	teletransporter	0	1	99	Entrance_G_1
19	1	160	992	stairs	3	1
19	1	160	448	stairs_2	1	0
0	2	120	440	96	8	323
0	2	152	1008	32	8	324
0	2	0	0	16	1032	170
0	2	1016	0	16	1016	170
0	2	152	440	32	8	152
0	2	16	16	304	424	170
0	2	16	664	112	352	170
0	2	208	664	112	352	170
0	2	152	1008	32	8	153
0	2	160	1008	16	8	274
0	2	160	440	16	8	271
0	2	320	16	696	1000	170
