properties{
  x = 1536,
  y = 0,
  width = 1536,
  height = 1136,
  world = "dungeon_1",
  floor = 1,
  tileset = "8",
  music = "same",
}

tile{
  layer = 0,
  x = 568,
  y = 752,
  width = 8,
  height = 80,
  pattern = 314,
}

tile{
  layer = 0,
  x = 408,
  y = 752,
  width = 160,
  height = 80,
  pattern = 320,
}

tile{
  layer = 0,
  x = 576,
  y = 744,
  width = 24,
  height = 96,
  pattern = 233,
}

tile{
  layer = 0,
  x = 376,
  y = 744,
  width = 24,
  height = 96,
  pattern = 235,
}

tile{
  layer = 0,
  x = 408,
  y = 744,
  width = 160,
  height = 8,
  pattern = 311,
}

tile{
  layer = 0,
  x = 376,
  y = 720,
  width = 24,
  height = 24,
  pattern = 57,
}

tile{
  layer = 0,
  x = 400,
  y = 720,
  width = 176,
  height = 24,
  pattern = 232,
}

tile{
  layer = 0,
  x = 376,
  y = 832,
  width = 24,
  height = 24,
  pattern = 59,
}

tile{
  layer = 0,
  x = 576,
  y = 832,
  width = 24,
  height = 24,
  pattern = 60,
}

tile{
  layer = 0,
  x = 400,
  y = 832,
  width = 176,
  height = 24,
  pattern = 234,
}

tile{
  layer = 0,
  x = 400,
  y = 744,
  width = 8,
  height = 8,
  pattern = 307,
}

tile{
  layer = 0,
  x = 400,
  y = 752,
  width = 8,
  height = 80,
  pattern = 313,
}

tile{
  layer = 0,
  x = 408,
  y = 824,
  width = 160,
  height = 8,
  pattern = 312,
}

tile{
  layer = 0,
  x = 568,
  y = 824,
  width = 8,
  height = 8,
  pattern = 309,
}

tile{
  layer = 0,
  x = 400,
  y = 824,
  width = 8,
  height = 8,
  pattern = 310,
}

tile{
  layer = 0,
  x = 496,
  y = 728,
  width = 16,
  height = 24,
  pattern = 290,
}

tile{
  layer = 0,
  x = 488,
  y = 728,
  width = 8,
  height = 24,
  pattern = 288,
}

tile{
  layer = 0,
  x = 512,
  y = 728,
  width = 8,
  height = 24,
  pattern = 289,
}

tile{
  layer = 0,
  x = 576,
  y = 720,
  width = 24,
  height = 24,
  pattern = 58,
}

tile{
  layer = 0,
  x = 568,
  y = 744,
  width = 8,
  height = 8,
  pattern = 308,
}

tile{
  layer = 0,
  x = 544,
  y = 728,
  width = 8,
  height = 16,
  pattern = 72,
}

tile{
  layer = 0,
  x = 568,
  y = 728,
  width = 8,
  height = 16,
  pattern = 73,
}

tile{
  layer = 0,
  x = 552,
  y = 728,
  width = 16,
  height = 16,
  pattern = 190,
}

tile{
  layer = 0,
  x = 696,
  y = 488,
  width = 24,
  height = 24,
  pattern = 57,
}

tile{
  layer = 0,
  x = 696,
  y = 544,
  width = 24,
  height = 24,
  pattern = 59,
}

tile{
  layer = 0,
  x = 696,
  y = 512,
  width = 24,
  height = 32,
  pattern = 235,
}

tile{
  layer = 0,
  x = 720,
  y = 488,
  width = 96,
  height = 24,
  pattern = 232,
}

tile{
  layer = 0,
  x = 720,
  y = 544,
  width = 96,
  height = 24,
  pattern = 234,
}

tile{
  layer = 0,
  x = 816,
  y = 488,
  width = 24,
  height = 24,
  pattern = 58,
}

tile{
  layer = 0,
  x = 816,
  y = 544,
  width = 24,
  height = 24,
  pattern = 60,
}

tile{
  layer = 0,
  x = 816,
  y = 512,
  width = 24,
  height = 32,
  pattern = 233,
}

tile{
  layer = 0,
  x = 720,
  y = 512,
  width = 8,
  height = 8,
  pattern = 307,
}

tile{
  layer = 0,
  x = 808,
  y = 512,
  width = 8,
  height = 8,
  pattern = 308,
}

tile{
  layer = 0,
  x = 808,
  y = 536,
  width = 8,
  height = 8,
  pattern = 309,
}

tile{
  layer = 0,
  x = 720,
  y = 536,
  width = 8,
  height = 8,
  pattern = 310,
}

tile{
  layer = 0,
  x = 728,
  y = 536,
  width = 80,
  height = 8,
  pattern = 312,
}

tile{
  layer = 0,
  x = 728,
  y = 512,
  width = 80,
  height = 8,
  pattern = 311,
}

