800	848	-1	-100	0	0	-1	3	same
0	0	416	704	80	80	3
0	0	0	56	800	648	340
0	0	352	576	224	16	322
0	0	520	704	288	24	226
0	0	-8	704	400	24	226
0	0	496	704	8	80	219
0	0	408	704	8	80	218
0	0	256	80	16	128	323
0	0	576	80	16	128	321
0	0	512	272	80	16	322
0	0	0	688	432	16	322
0	0	408	784	96	24	226
0	0	440	784	8	16	288
0	0	464	784	8	16	287
0	0	384	784	24	24	59
0	0	504	784	24	24	60
0	0	384	720	24	64	227
0	0	504	720	24	64	225
0	0	416	776	80	8	217
0	0	408	776	8	8	214
0	0	496	776	8	8	215
0	0	384	704	24	24	66
0	0	504	704	24	24	65
0	0	448	592	16	112	3
0	0	432	624	16	64	323
0	0	464	624	16	64	321
0	0	480	688	320	16	322
0	0	424	592	64	16	3
0	0	336	592	96	16	3
0	0	320	496	16	112	3
0	0	224	592	96	16	3
0	0	176	592	48	16	3
0	0	176	496	16	96	3
0	0	184	496	48	16	3
0	0	216	416	16	80	3
0	0	320	480	96	16	3
0	0	400	304	16	176	3
0	0	112	288	304	16	3
0	0	112	400	128	16	3
0	0	240	400	80	16	3
0	0	304	376	16	24	359
0	0	512	264	16	24	359
0	0	512	288	80	16	3
0	0	512	304	16	176	3
0	0	512	480	80	16	3
0	0	584	480	16	128	3
0	0	488	592	96	16	3
0	0	304	480	16	96	323
0	0	160	496	16	112	323
0	0	200	432	16	48	323
0	0	384	320	16	144	323
0	0	496	288	16	208	323
0	0	568	512	16	64	323
0	0	232	432	16	80	321
0	0	192	528	16	48	321
0	0	336	512	16	64	321
0	0	416	288	16	208	321
0	0	528	320	16	144	321
0	0	600	480	16	128	321
0	0	320	400	16	16	321
0	0	112	304	16	96	3
0	0	176	608	256	16	320
0	0	480	608	128	16	320
0	0	352	496	64	16	320
0	0	200	512	32	16	320
0	0	240	416	80	16	320
0	0	112	416	96	16	320
0	0	144	304	240	16	320
0	0	544	304	48	16	320
0	0	512	496	64	16	320
0	0	208	576	96	16	322
0	0	144	384	160	16	322
0	0	112	272	304	16	322
0	0	536	464	64	16	322
0	0	320	464	64	16	322
0	0	128	320	16	64	321
0	0	96	288	16	128	323
0	0	176	480	32	16	322
0	0	0	40	800	24	224
0	0	272	208	304	16	320
0	0	272	64	304	144	3
0	0	272	64	304	8	216
0	0	256	208	16	16	327
0	0	416	496	16	16	326
0	0	232	512	16	16	326
0	0	320	416	16	16	326
0	0	96	416	16	16	327
0	0	496	496	16	16	327
0	0	160	608	16	16	327
0	0	160	480	16	16	324
0	0	304	464	16	16	324
0	0	496	272	16	16	324
0	0	96	272	16	16	324
0	0	416	272	16	16	325
0	0	320	384	16	16	325
0	0	600	464	16	16	325
0	0	600	608	16	16	326
0	0	576	208	16	16	326
0	0	448	784	16	16	294
0	0	256	64	16	16	317
0	0	576	64	16	16	316
0	0	0	64	256	16	320
0	0	592	64	208	16	320
0	0	592	288	16	16	321
0	0	592	272	16	16	325
0	0	592	304	16	16	326
0	0	432	608	16	16	317
0	0	432	688	16	16	318
0	0	464	688	16	16	319
0	0	464	608	16	16	316
0	0	336	496	16	16	316
0	0	336	576	16	16	319
0	0	304	576	16	16	318
0	0	568	496	16	16	317
0	0	568	576	16	16	318
0	0	192	576	16	16	319
0	0	192	512	16	16	316
0	0	232	416	16	16	316
0	0	200	416	16	16	317
0	0	200	480	16	16	318
0	0	128	384	16	16	319
0	0	128	304	16	16	316
0	0	384	304	16	16	317
0	0	384	464	16	16	318
0	0	528	464	16	16	319
0	0	528	304	16	16	316
0	0	464	64	32	32	399
